favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
30,Twitter Web Client,"Via @TVbytheNumbers:“TV Ratings Sunday 'Family Guy' &amp; 'The Simpsons' Down, 'All-Star Celebrity Apprentice' Up” http://t.co/bSwTv3eBvD",,False,Tue Apr 16 15:41:41 +0000 2013,37,324185836713304064
22,Twitter Web Client,"For you newcomers, George Ross was one of my first advisors on the original Apprentice. #CelebApprentice",,False,Mon Apr 22 02:19:12 +0000 2013,29,326158212317446144
10,Twitter Web Client,.@THEGaryBusey is making no attempt to help. Is he in BuseyLand? Their team is short on help already… #CelebApprentice,,False,Mon Apr 22 01:33:01 +0000 2013,15,326146589192224769
4,Twitter for Android,@VeIvetRose  Also true!,VeIvetRose,False,Sat Apr 13 12:28:42 +0000 2013,2,323050106658123776
91093,Twitter for iPhone,"Do you believe that the Fake News Media is pushing hard on a story that I am going to replace A.G. Jeff Sessions with EPA Chief Scott Pruitt, who is doing a great job but is TOTALLY under siege? Do people really believe this stuff? So much of the media is dishonest and corrupt!",,False,Fri Apr 06 14:46:10 +0000 2018,22935,982268230306709509
14,Twitter for Android,@JTHolder2010  Great!,JTHolder2010,False,Thu Apr 11 06:38:03 +0000 2013,8,322237088537931778
326,Twitter Lite,What do you think of water boarding the Boston killer sometime prior to allowing our doctors to make him well? I suspect he may talk!,,False,Sun Apr 21 21:46:19 +0000 2013,570,326089541641445377
9,Facebook,Next year @TomBrokaw should be the comedian at the White House Correspondents’ dinner. The only problem is that... http://t.co/52sz6WwhUz,,False,Mon Apr 29 18:37:48 +0000 2013,17,328941202923716608
7,Twitter for Android,"""@craigdevlin: @realDonaldTrump @sheckiezx @kristinaoakes go on the daily show then and prove yourself."" I would triple his ratings-nice no.",,False,Thu Apr 25 12:47:34 +0000 2013,13,327403511258152962
3,Twitter Web Client,@OurColorado @emilyhoms Thank you.,OurColorado,False,Fri Apr 05 20:33:25 +0000 2013,2,320272987104374784
19,Twitter Lite,I don't know how Al Michaels could have been drunk and arrested on Friday night if he was totally sharp on Saturday morning.,,False,Sun Apr 21 21:00:28 +0000 2013,53,326078000829452288
37,Twitter for Android,"Housing prices are up in Feb over last Feb 9.3 per cent -remember, I told everyone two years ago to buy (but they will be going much higher)",,False,Wed May 01 12:51:38 +0000 2013,100,329578863069904897
